Area (m2),Frontage (m),Access Road (m) ,Floors,Bedrooms,Bathrooms,Price (B VND)
84,,,4,,,8.6
60,,,5,,,7.5
90,6,13,5,,,8.9
54,,3.5,2,2,3,5.35
92,,,2,4,4,6.9
91,7,13,,,,9.8
64,4,,5,,,7.2
74,5,18,5,4,5,9.9
48,,,5,6,,5.7
91,7,,5,,,9.5
80,5,13,5,6,6,10
70,6,13,5,6,,9.8
60,,,5,,,8.9
91,,,,,,8.6
96,6,13,4,,,9.6
30,,,2,2,2,3.79
300,15,32,3,6,3,9.4
91,7,17,,,,10
65,5,20,5,5,4,7.8
46,4.6,6,4,4,5,7.99
75,5,13,5,7,5,8.7
100,,,3,3,3,3.3
84,6,,5,,,9.45
60,3.5,5,2,6,5,5.6
369,15,12,2,4,4,6.3
75,5,13,,,,7.7
55,5,,2,4,,3.25
78,6,,5,,,9.59
67.4,4,8,5,4,6,9.5
28,,3,2,2,2,3.88
150,,,2,7,,6.7
72,5.6,3.5,1,,,10
78,6,13,4,6,6,8.63
68,,,3,4,6,6.5
43,,4,3,3,3,5.85
32.8,4.5,6,5,,,7.5
168,,,2,4,4,5.2
72,17,36,2,2,2,2
70,5,13,5,6,4,8.5
75,5,13,5,5,4,8.1
80,5,,5,,,9
378,,,2,3,3,7.8
88,5.5,11.5,5,4,4,6.5
54,5.8,3,4,6,6,8.8
36,3.8,2.2,5,,,3.85
41,,3.5,5,4,4,10
35,,,4,3,3,2.9
46,,30,,1,1,4.3
180,10,,4,3,3,5.3
38,,,3,3,3,2.1
45,5,6,3,3,4,5.95
90,6,,2,4,3,3.2
88,5.5,17,5,4,4,6.6
85,,,,4,5,5.9
143.9,,,4,4,5,9.5
81.3,,,5,,,9.7
88,,,4,,,6.7
38,,,2,1,1,4.1
40,4.1,6,4,3,4,7.7
113,,,,,,6.2
150,5,29,2,,,4.9
69.1,4,4.5,3,3,4,10
100,5,,3,5,3,8.1
30,,6,3,,,7.15
85,,,3,4,4,5.9
54,,,,,,8.15
52.7,7,3,5,6,,7.6
73,5,,4,4,4,9.5
80,,,,,,10
120,,,2,3,3,3.1
82.5,,15.5,4,4,3,5.71
52,4,3,4,4,4,6.5
45,6,3,4,4,4,7.65
200,10,13,2,3,3,5.6
120,,,3,4,3,8.4
64,4,,3,4,3,4.7
50,3.7,3.5,5,7,6,8.9
36,7,3,5,3,4,5.6
368,,,,,,6.3
88,,,4,,,6.6
156,,,2,,,7.8
99.4,4,,2,,2,9.5
33,,,5,,,4.95
100,,,,,,7.5
34,,2,4,3,,2.9
100,20,12,3,4,5,6.5
60,8,15,4,5,5,4.5
85,,,4,4,6,4.2
74.02,5.3,5,3,,,2.38
62.5,5,,5,,,7.5
87,5,33,5,5,5,10
56,5,5,,,,2.7
90,,,,3,,5.5
58,,,,,,4.61
35,5,2,5,5,4,6.85
50.4,,5,3,4,4,3.75
54,,5,3,4,4,4.3
57.4,,,3,3,2,4.05
56,3.82,2.5,5,6,5,6.5
151,4,6,2,4,3,3.2
51.75,4.5,6,4,4,5,9.2
27,4,10,5,4,5,7.65
115,,,,,,9.55
81,,18.5,5,,,9.9
102.8,7,18,2,4,4,5.6
48,,,,,,5.8
55,4.5,5,,,,6.8
56.25,4.5,5,3,4,3,4.29
65,,,2,3,3,4
80,8,8,5,5,6,6.5
60,4,,,,,7
33,3,2,5,3,4,4.48
38,4.2,6,4,3,4,6.78
150,5,38,,,,4.9
42,,,3,2,,6.5
60,,,,,,7
30,3.4,3,6,4,5,5.65
78,6,13,5,,,9.8
43.5,,2,4,3,4,6.2
23.9,3.5,,2,2,2,4.2
78.7,4,,,,,5.5
67.5,,,,,,2.18
72,4,5,2,4,4,6.7
60,,3,4,4,3,2.65
200,,,2,3,3,10
36,4,3,5,4,4,6
100,,20,3,4,4,8.49
120,6,30,4,,,5.85
78,,,3,3,3,5.8
132,4,8,2,3,2,7
102,,3,1,2,1,6.8
101,7.1,2.5,3,4,3,6.6
81,8,8,1,1,1,5.8
35,,,5,4,3,3.5
75,5,24,3,3,3,7.7
62,,,4,6,4,6.9
100,15,20,3,,,3.9
42,3.3,5,4,5,4,8.8
143,5,6,4,4,4,9.3
180,9,40,3,5,4,9.7
75,5,17,5,,,8.6
78,6,,5,,,9.4
33,4.5,2.5,5,3,4,4.15
31,,,5,,,2.9
83.6,,,4,4,5,8.6
56,4.8,3,6,4,4,5.3
90,5,17.5,4,4,5,3.85
55,4,5,5,6,5,8.3
50,9,,2,2,2,3.9
65,,8,4,4,5,4.2
60,,,,,,4.3
100,5,15,3,3,4,3.95
33,,,,1,1,1.4
60,,2,3,3,3,4.7
70,,,5,5,4,6.9
40,,5,4,5,4,9.1
40,,,5,6,3,6.25
66,4,12,4,5,3,8.95
35,,,4,4,3,6.25
74,,,2,4,3,6.83
45,,,2,2,2,4.4
70,,,,,,6.8
45,,24,,,,7
85,,18,2,4,4,5.9
48,,2.5,4,5,,6.4
56.1,4.2,,4,4,3,6.3
40,,,5,,,7.48
36.5,3.6,4,6,3,4,4.1
36,,,4,,,7.49
64,4,6,5,4,5,6.7
12,3,3,5,3,4,1.8
90,,,,3,2,3.2
53,4.3,22,5,6,5,6.39
96,5.5,,2,5,5,8.5
31,6.2,6,3,4,3,6.8
56,3.85,2.8,4,4,5,8.5
116.8,,,,3,2,7.3
56,5,13,5,,,7.6
64,4,6,5,6,6,5.98
65,5.5,7,3,3,3,4.7
50,,,4,4,4,7
100,5,,,,,2.15
70,6.6,,,,,9.6
55,5,3,5,4,5,6.8
37,4,,6,3,3,5.6
45,3.5,2,4,4,3,4.95
30,6,2,6,3,4,4.6
67.5,,,4,4,4,4.5
180,9,15,3,,,10
45,,,5,3,4,5.7
180,9,,3,5,6,9.7
46.5,5,,3,3,,2.8
68,4,5,1,3,3,2.8
120,,,,,,7
40,,,2,2,2,1.38
120,,,5,,,8
98,7,27,,,,6.9
80,,12,3,4,4,1.5
32,,,5,3,4,5.7
75,8,3,1,3,1,2.35
90,6,30,3,3,4,5.8
86,4,3,2,8,2,7.6
70,,,,4,4,2.7
120,5,,5,,,10
41.8,,,3,3,,2.85
48.6,,,,2,2,2.95
56,,7,3,3,3,4.65
32,,15,3,3,4,3.6
272,,,,4,5,4.5
42,5.6,3,5,3,4,8.5
114,6,36,5,,,8.5
53,,5,2,4,3,4.35
33,3.3,3.5,4,4,4,5.4
68,4,13,,,,8.5
40,4.25,3,5,4,4,6.3
72,,10,3,4,4,8.35
40,,6,1,2,2,2.35
20,,,3,2,2,2.8
91,5,,,,,3.5
45,4,5,5,,,4.5
52,4.5,8,4,4,3,7.2
34,,,4,3,4,2.95
112.5,5,7.5,3,5,3,4.9
225,12,,2,4,3,9
34,4.25,3,3,3,3,2.1
98.4,,12,1,3,2,1.19
20,3.6,15,4,3,,3.6
26.4,4,,3,2,1,3.85
75,5,7.5,4,,,4.35
60,5,9,3,4,5,5.6
51,4.2,12,2,3,4,6
35,,,3,,,5.65
34,8.1,,5,4,4,8
40,3.7,4,6,4,4,3.25
55,,,6,8,6,7.6
120,,,2,4,2,7.9
56,,13,5,,,7.6
60,6,5,3,3,2,2.95
60,4.5,6,4,4,4,6.5
40,,,4,4,4,2.5
100,,20,3,4,3,5.5
30,3.4,4,5,3,4,4.1
11,3,,3,2,2,1.85
110,4.4,7,2,2,2,5
135,,,3,,,7.55
54,,5,4,4,4,5.7
40,,,4,4,4,1.95
58.3,,12,3,4,5,5.5
53,3.6,5,4,3,4,6.5
27,4.6,,6,,,7.5
30,,8,2,2,2,3.75
101,9,,1,,,4.8
20,,,2,2,2,3.45
72,,,5,4,4,9.5
100,5,,,,,3.3
160,8,13,2,4,4,4.55
62,,22,2,3,3,2.8
65,6,4,1,2,1,1.65
48,,4,4,3,4,6.2
30.6,3,,,,,6.5
45,4.3,5,3,3,3,2.65
40,,4,4,4,3,5.6
24.3,2.38,,,,,7.2
65,,,3,4,4,10
84,4.3,8,2,3,2,2.45
135,9,12,3,,,7.55
31,3.6,3,5,4,3,4.55
38.1,8,,,,,5.5
60,6,3.5,4,4,4,8
35,,,5,,,2.85
177,6.1,,2,3,4,5.46
100,6,,2,2,1,2.7
45,,,5,4,,4.45
84,7,10,3,8,6,6.5
80,,6,3,5,5,6.9
52,,,,1,1,7
70,,,4,5,,7.5
58,,,3,3,3,6.39
67,,3,3,3,3,4.5
60,,,4,4,,4.5
64,,,,,,8.3
90,,,,,,3.3
52,,,3,4,,5.3
38,,3,4,5,4,4.35
41,,,4,5,3,3.6
124,,,,4,2,6.3
92.5,6,6,3,3,4,6.95
94,5.7,4,,,,4.8
45.5,3.7,,3,3,3,3.25
35,4,5,4,4,3,6.5
35,,,4,3,3,2.5
85,6.08,4,2,3,2,2.55
60,4,13,5,5,5,8.6
71,,4,2,2,2,4.9
43,3.6,4,4,2,3,8.65
39,4.6,,4,3,,10
64,5,10,4,4,5,8
100,,6,,,,1.7
88.6,,,3,3,4,9.5
24,4,3,4,2,3,4.28
40,4,,,,,7
52,5,,4,3,,4.2
92,5,6,3,4,4,6.95
90,6,30,3,4,4,5.95
102.6,7,3,1,2,2,5.6
150,7.5,5.5,3,4,4,5
62,4.3,,5,5,,8.9
180,,,,,,10
198.5,9,10,2,4,3,8
150,10,,5,,,10
31,,,3,3,3,2.48
60,4,8,3,4,5,7.45
56,6,,4,4,4,7.15
54,4.85,2,2,3,2,7.5
30,3.25,,5,3,4,4.25
78.5,,,4,,,4.9
75,5,12,3,4,4,4.25
108,,,,,,7.7
59,5,5,3,9,9,6
100,,,,,,7
400,,,2,2,,8
58,4,4,,5,5,6.2
32,,,5,3,,5.5
30,3.8,2,5,3,3,4.6
40,,,1,2,2,1.3
37,,,5,3,4,7.3
75,6,,5,,,10
60,4,13,5,7,4,8.6
100,36,36,3,4,2,5
127,4.5,,2,3,2,8.45
48,4,,3,4,3,5
90.8,6,16,4,5,6,8.5
39,4.5,50,6,3,4,7.5
54,,,2,,,4.1
40,3.4,,4,4,5,8.15
35,3.6,4,3,3,2,3.75
80,4,3.5,2,2,,2.5
98.7,6,3,2,7,4,5.2
70,5,11.5,4,,,5.6
75,5,30,2,3,2,1.68
105,6,13,,,,9.8
54,3.8,4,2,2,2,5.65
36,4,5,3,3,3,3
70,5,,5,7,8,6.9
60,,,3,4,4,3.7
32,,12,5,5,5,9.5
60,4,5,3,4,3,5.2
33,3.3,2,5,3,3,7.5
49.5,4.5,4.3,3,2,2,4.15
33,4.5,2.5,5,3,4,3.65
105,7,15,4,6,4,6.7
60,5,7.5,4,,,3.16
83,5,20.5,4,,,6
151,,,2,2,3,5.7
68,4.5,,3,4,4,6.7
41.5,6,,5,,,4.9
56,4,13,5,7,4,7.5
66,6,8,,5,4,9.9
36,4,,3,4,3,3.5
40,,,4,4,,8.5
120,,26,3,,,7.54
45,,3,4,5,4,6
360,,,1,2,2,8.9
123,11,60,3,,,5.7
40,4.4,,4,3,3,9.9
78,6,13,5,9,8,9.45
78,6,13,5,8,4,9.29
129.5,,,2,,,5.1
33,4,4,5,4,4,5
75,5,8,2,3,2,2.25
34,5,2,5,3,4,5.95
45,3.5,7,4,5,4,4.5
28,3.5,7,,,,2.68
37,,,3,2,,5.5
38,,,5,4,5,9.1
54,,5,4,4,5,6.2
35,3.5,,5,,,5.1
58,,,4,2,3,5.6
45,4,5,2,,,3.5
45,6.2,4,5,5,5,7.68
126.2,5.6,12,1,2,1,6.9
173,5,5,,2,,2.4
55,,3.5,4,5,4,5.5
75,5,7,5,5,5,8.8
68,4,3,2,6,6,4.95
44,3.5,5,3,4,3,3.8
35,,,5,3,,4.7
90,,8,1,3,2,2.13
35,,,4,4,3,3.3
30,,,5,3,,3.88
36,,5,5,4,4,5.65
38,,,6,4,3,6.25
37,,3,5,4,4,6.5
70,,,5,5,5,6.01
72,,,2,6,4,6.75
41,,2.8,5,3,4,5.7
80,5,2,5,5,6,9.5
98,6,5,2,3,2,9.6
60,4,9,3,5,5,7.6
120,,20,2,3,3,3.5
82.5,,,2,3,2,4.8
40,4.2,,5,6,4,4.7
81,4.5,9,5,5,5,5.8
35,4,4,3,4,3,2.4
157,10,3,4,7,7,10
41,,,4,4,3,5.15
310,9.1,,,,,3.8
66,4.1,7,4,5,6,6.8
60,4,3,3,4,6,4.8
80,5,20,5,,,10
80,8,,4,4,3,4.8
85,5,6,3,4,4,5.99
96,8,20,3,5,4,5.5
49.1,3.86,50,2,3,2,3.5
60,,,,,,10
50,,,5,,,8.7
85,,,3,3,4,4
70,7,2.5,4,4,4,9.8
111.4,,,4,,,6.9
37,4.6,3.5,6,4,3,7.5
30,3.5,3,5,3,4,3.2
160,6,20,2,4,3,4.55
37,3.8,3,6,3,4,8
177,17,13,2,5,7,6.8
31,5.1,,3,4,3,5.6
56.5,,,3,4,3,4.7
90,,,3,4,3,3
36,4.5,20,4,3,4,4
60,4,20,5,6,4,8.6
47,3.5,,4,3,3,6.45
44,4.5,10,4,3,3,8.5
114,,,4,,,9.2
36,,,5,3,3,6.05
245,,12,1,,,7.6
38,,,5,,,4.5
62.12,5.5,,3,2,2,5.7
63,4.7,3,4,4,3,8.6
32,,,6,3,,6.5
21,,5,3,2,2,1.53
31,,,5,3,4,9.5
36,,,4,5,4,6.25
120,,56,3,,,8.6
32,3,2.3,5,5,3,3.7
48,,,5,,,5.5
45,,,,,1,5.9
55,,,5,4,4,9.29
41,4.5,,5,,,6.6
41.5,4,6,4,5,3,7.7
68,,15,,,,4.6
35,,,5,2,2,6.85
90,,,3,4,,8.7
160,8,13,2,3,3,4.65
175,10,9,3,5,3,9.1
30.5,4,3,4,3,3,2.65
127,9,5,1,2,1,2.16
120,5,,2,3,3,4.55
50,4,6,4,4,3,3.7
60,10,10,3,5,3,9.99
91,4,5,4,4,4,9.3
27,3,3,3,4,2,1.99
74,,,5,7,,5.5
32,3.5,3,4,3,3,3.95
52,4.6,6,4,4,4,8.6
50,4,3,3,3,3,2.75
36,4,3,5,4,4,2.8
50,5,2,6,4,5,6.5
70,4.5,2.5,5,5,5,10
97.3,5,,3,3,3,3.49
90,6,15,5,5,5,8.79
50,,,6,4,5,7.55
35,,,6,4,5,7.8
45,4,2,2,3,2,1.49
80,4,5,2,3,4,4.25
34,,,5,4,,4.3
60,,,3,3,2,5.9
34,,,5,3,4,3.3
160,8,13,3,4,4,6.2
51,,,,,,1.85
68,,3,,6,6,4.95
60,,,,,,5
36,4,3.5,5,3,4,4.55
110,,,3,3,3,5.9
42,4,4,2,2,2,1.9
75,5,,4,,,4.3
35,,3,4,4,3,3.4
37,5,8,4,3,3,3.4
55,,,2,3,2,4.75
56,5.2,,4,2,3,6.1
200,2,6,4,5,3,6
76,,,,2,2,2.22
38,,,4,3,3,7.3
32,3,,5,3,4,4.25
100,,,3,3,3,5.3
61,4.5,3,4,4,3,8.95
30,4.2,3,5,3,3,6.4
120,5.2,5,2,2,1,5.2
151,,,2,2,3,5.6
53,3.5,7,5,8,5,8.8
78,6,,,,,7
62.44,,,2,3,4,8.3
55,5,4,2,1,1,7.5
123,,,,,,4.3
43,,,2,2,2,1.98
100,4,,2,3,2,9
100,3.5,24,3,3,2,8.2
70,5,12,3,,,5.7
100,,,,,,8.5
72,,,,,,7.9
64,4,16,3,4,4,10
75,,,,,,8.4
40,4,4,5,4,5,9.2
100,5,12,1,2,1,7.8
82.5,5,12,3,3,3,9.3
53.28,3.3,60,1,1,1,8.2
64,8,4.5,4,5,5,8.5
65.6,4.5,,2,3,3,5.9
45,3.8,3.3,4,5,3,3.99
100,5,6,3,4,4,7.2
201,,,,,,8.8
30.3,4.6,,3,2,2,3.2
71.2,4.5,8,3,4,4,4.8
50,6,13,,,,6.9
35,3.7,3,7,4,5,9
77.5,5,11.5,3,4,4,4.6
120,6,56,3,4,3,8.6
30,,,4,2,3,3.7
42.5,8.5,4,4,3,3,5.95
72,,,,,,7.9
103,,5,1,2,2,5.3
45,4,4,4,4,4,7
114,4.5,8,2,3,2,2.5
116,,,2,6,3,9
83,5.4,,3,,,9.5
70,7.2,,,,,3.2
90,,6,1,,,8.9
52,,,3,4,5,6.1
100,6,15,3,6,5,6.46
41,3.06,,2,2,1,3
93,,3,3,4,2,4.26
73,4.1,12,3,3,3,8.8
68,4.3,7,4,3,3,9.4
56,,10,4,5,5,5.79
36,,,5,,,6.5
35,,,3,3,4,1.92
71,4.7,4,4,4,4,6.5
69.2,,,2,6,3,6.49
13.5,,,5,3,3,5.4
100,5,7.5,3,3,4,7.95
64.5,4,6,4,6,4,8.5
125,10,4,3,5,6,8.3
50,5,2,4,5,3,7.65
150,,30,2,3,2,3.9
43,3.5,15,2,2,2,3.9
53.8,4.5,8,4,3,3,4.7
150,10,16,2,3,3,8.6
32,,,2,2,2,3.75
107.1,,,3,3,4,3.8
45,4,7,4,4,4,9.5
30,3.66,,5,3,4,6.45
56,6,30,1,1,1,7
42.2,,4,2,2,2,2.35
60,4,7,3,4,3,4.85
74,4,10,3,4,4,6.05
82,5,5,3,3,4,7.5
45,4.2,5,2,,,3.5
62,10,,4,4,3,9.5
97,7,7.5,2,4,4,5.3
106,5.3,,3,4,4,4.8
130,4.4,16,1,3,1,8.5
160,5,14,1,,,9.5
57,,,4,4,4,8.3
48,5,4,3,3,3,2.4
45,6.2,,4,4,,7.2
120,6,5.5,1,3,,3.59
30.4,4,3,5,3,4,5.48
60.5,4.5,4,3,3,2,4.25
40,4.5,3,3,3,3,6.4
56,4,13,5,5,5,7.7
36,,,4,3,4,2.8
36,,,5,4,4,1.86
44,15,15,,3,3,4.7
95,10,,3,5,5,9.6
90,,,3,4,4,9
100,5,30,4,4,4,8.8
25,,,3,2,3,3.78
283,,,1,6,4,9
42,3.6,,5,,,9.6
64,,,4,4,5,8.6
86.6,5.5,,3,5,7,9.8
60,4,5,2,2,2,2.55
65,5,,5,4,4,6.8
60,,,4,,,8.4
100,5,17,5,,,10
80,5,4,2,2,2,6.95
70,7,10,2,2,2,1.5
110,,21,3,5,6,5.46
35,3.3,5,3,3,3,5.3
108,6,,1,2,2,2.85
108,6,16,,2,2,2.85
32,5,5,5,4,4,5.5
339,10,,2,3,3,6.3
90,,,,,,3.2
62,,12,3,4,4,3.6
132,4,6,1,2,1,7.5
72,6,13,5,5,5,7.6
35,,,4,3,3,1.9
127,8,15,4,6,4,7.7
100,5,10,4,,,3.65
100,5,5,,,,3.05
45,,5,4,7,7,6.5
50,,,4,4,3,6.6
72,4,6,3,3,3,4.6
33,3.3,2,4,3,3,4.2
60,4,7,4,5,5,5.5
100,5,5,4,7,7,9.5
55,4,15,5,6,,8.5
167,10,3,,3,1,3.75
20,5,,4,3,3,4.8
96.8,,,,4,4,9.5
115,16,,4,4,5,6.3
65,,,5,,,6.8
39,3.8,15,5,6,3,8.1
66,,8,5,4,3,9
56,,,,,,4.9
35,3.4,2.5,5,3,3,4.05
45,,,3,4,3,1.95
40.8,,4,3,5,4,5.65
35,,,5,4,3,2.3
44,3.8,,3,3,2,2.65
35,3.3,4,3,3,3,2.2
60,4,5,1,2,1,1.95
30,3.7,3,3,3,3,1.98
32,,,5,3,4,3.8
300,10,,,,,1.56
56,4.8,3,6,4,4,5.3
61.5,4,5,3,5,5,7.8
104,5,5,,2,2,1.95
61,,3,1,2,1,4.15
37,,,4,3,3,5.15
77,,,,,,8.32
40,,,,,,5.85
60,4.2,8,2,3,2,2.75
36,,,,,,7.2
48,5,4,2,2,2,2.3
93.5,6,5,,2,1,1.75
66,5,6,4,5,5,5.35
48.2,,,7,,,9.8
113,,8,4,3,4,5.8
68,6,6,2,3,3,3.74
51,,,3,4,4,5.2
40,5,7,5,5,4,3.65
33,,,,3,,2.13
64.1,4,3.5,2,3,1,2
90,4.2,6,4,4,5,7.79
59,4,25,2,2,2,1.9
135,9,,3,,,7.6
88,,,,,,7.7
100,6,15.2,3,4,3,6.46
75,,6,3,4,4,4.9
81,,,,,,10
124.8,,,1,,,1.55
105,5,10.5,3,4,4,4.2
105,7,5,2,2,3,3.75
33,,,5,3,4,3.8
320,,,2,4,4,7.1
19,,3.5,2,1,1,2.89
72,,8,4,4,5,7.2
55,4.5,5,,,,6.8
98,6,,4,5,4,8
53,4,5,,4,5,7.48
52,,,5,,,6.4
322,18,15,2,4,3,6.3
151.8,,4,,4,2,9.8
37,4,2.5,5,5,5,6.5
66,3.86,6,3,3,2,7.5
90,5,,1,1,1,2.25
40,5,2,3,3,2,5.33
38,3.8,6,5,4,4,7.5
50,,,3,,,6.5
32,4.6,,5,3,,3.85
44,4,10,4,4,3,2.95
188,,,,3,2,6
81,6,6,3,6,4,7.5
100,,,3,5,5,3.1
38,3.5,5,6,3,4,4.7
60,5,17.5,5,4,4,4.2
105,,,3,4,4,9.8
74,3.5,,3,4,,5.1
90,7.5,7.5,3,4,4,6.5
125,,28,2,2,2,2.9
35,,2.8,3,3,3,1.85
46,,3,3,3,2,2.6
50,,,3,4,3,6.5
32,4.2,2.5,4,4,3,2.7
104.4,5,12,4,4,5,9.2
114,,,5,5,4,8.48
160,8,,,,,9.5
31,3,3,5,3,4,4.3
65,5,12,6,4,4,6.8
90,5,7,2,3,3,7.2
48,,,5,6,,8.5
66,4,8,3,3,4,5.99
